vin,make,model,year,trim,style,odometer,,,,,,,,,,,,,,,,,,,,,,
1G6DP1E33C0142176,Cadillac,CTS,2012,3.6L Premium,3.6L Premium 2dr Coupe,35908,,,,,,,,,,,,,,,,,,,,,,
JN8AZ2ND9D9750004,Infiniti,QX56,2013,,4x2 4dr SUV5.6L V8 400hp 413ft. lbs.,34950,,,,,,,,,,,,,,,,,,,,,,
JTHSM5BC7G5000932,Lexus,RC 300,2016,Base,AWD 2dr Coupe,929,,,,,,,,,,,,,,,,,,,,,,
1GCVKREH5FZ208866,Chevrolet,Silverado 1500,2015,LT,4x4 LT 4dr Double Cab 6.5 ft. SB,20763,,,,,,,,,,,,,,,,,,,,,,
5NPDH4AE2DH317430,Hyundai,Elantra,2013,GLS,GLS 4dr Sedan,46206,,,,,,,,,,,,,,,,,,,,,,
5UXZV8C54DL898720,BMW,X5,2013,xDrive50i,xDrive50i 4dr SUV All Wheel Drive,39955,,,,,,,,,,,,,,,,,,,,,,
1FTFW1CT2EFB76248,Ford,F-150,2014,XLT,XLT 4dr SuperCrew,35119,,,,,,,,,,,,,,,,,,,,,,
3GCUKREC9FG145397,Chevrolet,Silverado 1500,2015,LT,4x4 LT 4dr Crew Cab 5.8 ft. SB,40553,,,,,,,,,,,,,,,,,,,,,,
1FTFW1R6XEFC85350,Ford,F-150,2014,SVT Raptor,4x4 SVT Raptor 4dr SuperCrew Styleside 5.5 ft. SB,28587,,,,,,,,,,,,,,,,,,,,,,
2C3CCAAGXFH931541,Chrysler,300,2015,Limited,Limited 4dr Sedan,13727,,,,,,,,,,,,,,,,,,,,,,
3GTU2NEC3GG105827,GMC,Sierra 1500,2016,SLT,4x4 SLT 4dr Crew Cab 5.8 ft. SB,6447,,,,,,,,,,,,,,,,,,,,,,
5UXWX5C50BL704127,BMW,X3,2011,xDrive28i,AWD xDrive28i 4dr SUV3L V6 240hp 221ft. lbs.,40551,,,,,,,,,,,,,,,,,,,,,,
3C4PDDEG5ET304399,Dodge,Journey,2014,R/T,AWD R/T 4dr SUV,18727,,,,,,,,,,,,,,,,,,,,,,
3VW507AT8EM819847,Volkswagen,Beetle,2014,1.8T,1.8T 2dr Convertible w/Sound and Navigation,14632,,,,,,,,,,,,,,,,,,,,,,
3GTU2VEC7EG103186,GMC,Sierra 1500,2014,SLT,SLT 4dr Crew Cab 4WD,23081,,,,,,,,,,,,,,,,,,,,,,
WBAVL1C54DVR82891,BMW,X1,2013,xDrive28i,xDrive28i 4dr SUV All Wheel Drive,36012,,,,,,,,,,,,,,,,,,,,,,
1G6AG5RX9D0155412,Cadillac,ATS,2013,2.0T,AWD 2.0T 4dr Sedan,26035,,,,,,,,,,,,,,,,,,,,,,
WA1LFAFP0CA007562,Audi,Q5,2012,2.0T quattro Premium Plus,AWD 2.0T quattro Premium Plus 4dr SUV,58529,,,,,,,,,,,,,,,,,,,,,,
WAUFFAFL4DN019334,Audi,A4,2013,2.0T quattro Premium Plus,AWD 2.0T quattro Premium Plus 4dr Sedan 8A,42582,,,,,,,,,,,,,,,,,,,,,,
1GNKRHKDXFJ193409,Chevrolet,Traverse,2015,LT,2LT 4dr SUV,43740,,,,,,,,,,,,,,,,,,,,,,
WP0AF2A74DL076514,Porsche,Panamera,2013,GTS,AWD GTS 4dr Sedan,49111,,,,,,,,,,,,,,,,,,,,,,
2GNALBEK0D1215526,Chevrolet,Equinox,2013,LS,LS 4dr SUV,37204,,,,,,,,,,,,,,,,,,,,,,
1B3JZ69Z78V201022,Dodge,Viper,2008,SRT-10,SRT-10 2dr Coupe,4215,,,,,,,,,,,,,,,,,,,,,,
5J8TB2H57AA003090,Acura,RDX,2010,w/Tech,4dr SUV w/Technology Package,53124,,,,,,,,,,,,,,,,,,,,,,
2C3CDXHG2EH275355,Dodge,Charger,2014,SXT,SXT 4dr Sedan,20157,,,,,,,,,,,,,,,,,,,,,,
1GNSKBKC6GR134305,Chevrolet,Tahoe,2016,LT,LT 4dr SUV 4WD,32406,,,,,,,,,,,,,,,,,,,,,,
5UXZV4C58D0E03030,BMW,X5,2013,xDrive35i,AWD xDrive35i 4dr SUV,23410,,,,,,,,,,,,,,,,,,,,,,
JTEZU5JR0B5017498,Toyota,4Runner,2011,SR5,SR5 4dr SUV,58774,,,,,,,,,,,,,,,,,,,,,,
1C6RR6LMXGS223652,Ram,Ram Pickup 1500,2016,Lone Star,Lone Star 4dr Crew Cab,6013,,,,,,,,,,,,,,,,,,,,,,
4T1BF1FK8EU394042,Toyota,Camry,2014,SE,SE 4dr Sedan,46569,,,,,,,,,,,,,,,,,,,,,,
1FTEW1CF5FFB61220,Ford,F-150,2015,Platinum,Platinum 4dr SuperCrew 5.5 ft. SWB (5L 8cyl ),13881,,,,,,,,,,,,,,,,,,,,,,
KM8JU3AC9DU575095,Hyundai,Tucson,2013,Limited,Limited 4dr SUV,39663,,,,,,,,,,,,,,,,,,,,,,
2G61S5S32E9202566,Cadillac,XTS,2014,Platinum Collection,Platinum Collection 4dr Sedan,36580,,,,,,,,,,,,,,,,,,,,,,
2GNFLPE5XC6353945,Chevrolet,Equinox,2012,LT,LT 4dr SUV w/ 2LT,58811,,,,,,,,,,,,,,,,,,,,,,
5FRYD3H48EB014946,Acura,MDX,2014,w/Tech,4dr SUV w/Technology Package3.5L V6 290hp 267ft. lbs.,46264,,,,,,,,,,,,,,,,,,,,,,
1VWAT7A37FC028248,Volkswagen,Passat,2015,Wolfsburg Edition PZEV,Wolfsburg Edition PZEV 4dr Sedan,26454,,,,,,,,,,,,,,,,,,,,,,
JTHHA5BC8G5000392,Lexus,RC 200t,2016,Base,2dr Coupe,11226,,,,,,,,,,,,,,,,,,,,,,
3LN6L2G92DR826819,Lincoln,MKZ,2013,,4dr Sedan,21258,,,,,,,,,,,,,,,,,,,,,,
WBSDX9C52BE784222,BMW,M3,2011,Base,2dr Convertible,28396,,,,,,,,,,,,,,,,,,,,,,
3CZRU6H32GM707812,Honda,HR-V,2016,LX,AWD LX 4dr Crossover,17800,,,,,,,,,,,,,,,,,,,,,,
WDDGJ4HB4EG201056,Mercedes-Benz,C-Class,2014,C250,C250 2dr Coupe,37376,,,,,,,,,,,,,,,,,,,,,,
JH4CU2F88CC021576,Acura,TSX,2012,w/Special,4dr Sedan 5A w/Special Edition,51493,,,,,,,,,,,,,,,,,,,,,,
WAUDFAFC0DN096127,Audi,A6,2013,2.0T Premium Plus,2.0T Premium Plus 4dr Sedan,44270,,,,,,,,,,,,,,,,,,,,,,
SAJWA6FC5E8K00264,Jaguar,F-TYPE,2014,S,S 2dr Convertible,28679,,,,,,,,,,,,,,,,,,,,,,
ZFBCFXDTXGP367081,FIAT,500X,2016,Trekking,Trekking 4dr Crossover,22030,,,,,,,,,,,,,,,,,,,,,,
5XYZT3LB5HG436328,Hyundai,Santa Fe Sport,2017,,Sport 4dr SUV,2758,,,,,,,,,,,,,,,,,,,,,,
5UXWY3C59F0E95594,BMW,X3,2015,xDrive28d,AWD xDrive28d 4dr SUV,16395,,,,,,,,,,,,,,,,,,,,,,
4JGDA5JB1EA412095,Mercedes-Benz,M-Class,2014,ML350,ML350 4dr SUV,30036,,,,,,,,,,,,,,,,,,,,,,
WBA3A5C54EF604862,BMW,3 Series,2014,328i,328i 4dr Sedan,39598,,,,,,,,,,,,,,,,,,,,,,
1GNSKBKC8GR158086,Chevrolet,Tahoe,2016,LT,LT 4dr SUV 4WD,10591,,,,,,,,,,,,,,,,,,,,,,
JTDBU4EE5B9148152,Toyota,Corolla,2011,LE,LE 4dr Sedan 4A,35333,,,,,,,,,,,,,,,,,,,,,,
1C4BJWFG5FL565929,Jeep,Wrangler Unlimited,2015,Rubicon,4x4 Rubicon 4dr SUV,21028,,,,,,,,,,,,,,,,,,,,,,
1FTEW1C87FFA16858,Ford,F-150,2015,XLT,XLT 4dr SuperCrew,46934,,,,,,,,,,,,,,,,,,,,,,
3GYFNBE37GS524169,Cadillac,SRX,2016,Luxury Collection,Luxury Collection 4dr SUV,22642,,,,,,,,,,,,,,,,,,,,,,
JTMWFREV8D5011192,Toyota,RAV4,2013,XLE,XLE 4dr SUV,31014,,,,,,,,,,,,,,,,,,,,,,
WDCGG5HB9EG221781,Mercedes-Benz,GLK,2014,GLK350,GLK350 4dr SUV,19096,,,,,,,,,,,,,,,,,,,,,,
1FD0W5HT5GEB96312,Ford,F-550 Super Duty,2016,,4dr Crew Cab DRW 4WD,46272,,,,,,,,,,,,,,,,,,,,,,
